epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,70.6135,1.97281,2.06975,2.81252,0.82399,0.85168,0.91094,0.78177,1.44892,1.16505,2.27813,0.0018325,0.0018325,0.0018325
167,138.544,2.00579,2.09733,2.81261,0.82366,0.85058,0.91078,0.78187,1.44919,1.16469,2.27618,0.001783,0.001783,0.001783
168,206.086,1.98425,2.07113,2.81083,0.82075,0.85279,0.91038,0.78177,1.44758,1.16586,2.27436,0.0017335,0.0017335,0.0017335
169,273.863,1.97789,2.07852,2.81297,0.81185,0.85961,0.91045,0.783,1.4433,1.16481,2.2708,0.001684,0.001684,0.001684
170,341.788,1.98792,2.09668,2.81755,0.80944,0.86261,0.91069,0.78264,1.43992,1.1657,2.26943,0.0016345,0.0016345,0.0016345
171,409.371,1.95368,2.06825,2.79301,0.81066,0.86078,0.91029,0.782,1.44074,1.16493,2.26861,0.001585,0.001585,0.001585
172,477.301,2.00812,2.10241,2.83247,0.81107,0.85954,0.90999,0.78197,1.44071,1.16497,2.26653,0.0015355,0.0015355,0.0015355
173,545.501,1.99415,2.0611,2.80095,0.81104,0.8596,0.91002,0.78241,1.43999,1.16563,2.26479,0.001486,0.001486,0.001486
174,614.072,1.99711,2.1042,2.81328,0.81759,0.86044,0.91043,0.78277,1.43952,1.16184,2.26524,0.0014365,0.0014365,0.0014365
175,682.249,1.96743,2.05768,2.79179,0.81603,0.86383,0.91208,0.78412,1.43849,1.16022,2.26396,0.001387,0.001387,0.001387
176,750.82,1.97797,2.09896,2.82168,0.8212,0.85779,0.91125,0.78335,1.43833,1.16206,2.2634,0.0013375,0.0013375,0.0013375
177,818.512,1.97355,2.07841,2.80535,0.83326,0.84603,0.91156,0.78393,1.43406,1.16556,2.2604,0.001288,0.001288,0.001288
178,886.74,1.97859,2.07094,2.7963,0.82563,0.84918,0.911,0.78369,1.43384,1.16565,2.26031,0.0012385,0.0012385,0.0012385
179,955.18,1.98962,2.08975,2.81282,0.82979,0.8466,0.91109,0.78451,1.42921,1.16824,2.25778,0.001189,0.001189,0.001189
180,1023.04,1.95998,2.02949,2.79079,0.82663,0.84835,0.91071,0.78442,1.42937,1.16883,2.25726,0.0011395,0.0011395,0.0011395
181,1090.57,1.94512,2.00805,2.78334,0.82709,0.84949,0.91131,0.785,1.4265,1.16696,2.25646,0.00109,0.00109,0.00109
182,1158.27,1.97139,2.0437,2.80243,0.82693,0.84657,0.91164,0.78536,1.42717,1.16282,2.25671,0.0010405,0.0010405,0.0010405
183,1226.57,2.00589,2.11844,2.81566,0.82813,0.84819,0.91211,0.78578,1.42764,1.15825,2.2566,0.000991,0.000991,0.000991
184,1294.59,1.97377,2.03763,2.79636,0.82773,0.85091,0.91223,0.78639,1.42569,1.1562,2.25512,0.0009415,0.0009415,0.0009415
185,1362.45,1.94003,2.01221,2.78267,0.82832,0.85378,0.91221,0.78673,1.42524,1.15489,2.25384,0.000892,0.000892,0.000892
186,1430.45,1.96201,2.01954,2.785,0.82768,0.85132,0.9122,0.78722,1.42419,1.15295,2.25316,0.0008425,0.0008425,0.0008425
187,1498.44,1.95486,2.02886,2.78439,0.82438,0.85756,0.91277,0.78754,1.42259,1.15494,2.25187,0.000793,0.000793,0.000793
188,1566.59,1.99389,2.08918,2.81032,0.82487,0.85542,0.91258,0.78735,1.42172,1.15357,2.25149,0.0007435,0.0007435,0.0007435
189,1634.62,1.95727,2.02216,2.7812,0.82275,0.8589,0.91327,0.78761,1.42158,1.15303,2.25103,0.000694,0.000694,0.000694
190,1702.52,1.93885,2.01774,2.77406,0.81703,0.8648,0.91308,0.78737,1.41991,1.15406,2.24952,0.0006445,0.0006445,0.0006445
191,1770.9,1.40751,1.16335,2.38062,0.82043,0.86229,0.9132,0.78803,1.4196,1.15209,2.24931,0.000595,0.000595,0.000595
192,1835.51,1.39227,1.07859,2.37445,0.82577,0.85606,0.9132,0.78874,1.41718,1.14912,2.24718,0.0005455,0.0005455,0.0005455
193,1899.98,1.37361,1.05635,2.35164,0.82457,0.85374,0.91373,0.78909,1.41609,1.14837,2.24564,0.000496,0.000496,0.000496
194,1964.25,1.38645,1.07914,2.36968,0.82271,0.85333,0.91373,0.78912,1.41526,1.14636,2.24552,0.0004465,0.0004465,0.0004465
195,2028.64,1.39742,1.12563,2.40769,0.81467,0.86621,0.91398,0.79036,1.41199,1.14508,2.24152,0.000397,0.000397,0.000397
196,2093.04,1.37038,1.05698,2.34785,0.8169,0.86309,0.9147,0.79136,1.4099,1.14205,2.24079,0.0003475,0.0003475,0.0003475
197,2157.56,1.34923,1.02797,2.33449,0.82025,0.85801,0.91507,0.79145,1.40838,1.13933,2.23871,0.000298,0.000298,0.000298
198,2222.03,1.37639,1.07134,2.36042,0.8271,0.85603,0.91541,0.79244,1.40618,1.13802,2.23727,0.0002485,0.0002485,0.0002485
199,2286.51,1.34273,1.01237,2.32896,0.82574,0.85457,0.91572,0.79249,1.40506,1.13727,2.23554,0.000199,0.000199,0.000199
200,2350.83,1.33753,1.00421,2.32807,0.82354,0.86076,0.91606,0.79341,1.4049,1.13396,2.23579,0.0001495,0.0001495,0.0001495
