epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
64,,2.2328,2.52131,2.75579,0.82028,0.79821,0.8328,,1.67906,1.55763,2.25256
65,,2.238,2.57385,2.75337,0.80811,0.81242,0.83334,,1.67711,1.55174,2.26146
66,,2.23483,2.56446,2.76312,0.80097,0.80844,0.8249,,1.68067,1.54318,2.23579
67,,2.22778,2.54313,2.7499,0.81769,0.79852,0.83384,,1.6111,1.52473,2.21026
68,,2.22509,2.53228,2.75646,0.79516,0.81628,0.83393,,1.69534,1.53166,2.22935
69,,2.23787,2.54123,2.75226,0.82268,0.80375,0.82748,,1.67942,1.5159,2.2273
70,,2.23123,2.52644,2.75259,0.80892,0.80281,0.83287,,1.71442,1.55994,2.25052
71,,2.20306,2.47064,2.73426,0.80189,0.80472,0.8305,,1.64065,1.52917,2.21959
72,,2.19781,2.46177,2.72429,0.80499,0.8083,0.83623,,1.70583,1.54628,2.24514
73,,2.22076,2.48716,2.74779,0.80401,0.82671,0.84588,,1.63653,1.47975,2.20752
74,,2.18672,2.45877,2.73267,0.81185,0.79639,0.8401,,1.65266,1.51679,2.22229
75,,2.17498,2.43079,2.71241,0.80183,0.82282,0.84429,,1.66857,1.50371,2.21619
76,,2.21363,2.50299,2.7368,0.81334,0.817,0.84934,,1.61018,1.46782,2.19523
77,,2.2024,2.458,2.72996,0.80045,0.84475,0.84547,,1.64279,1.45179,2.20725
78,,2.16873,2.41158,2.71105,0.79775,0.82983,0.84736,,1.6037,1.43257,2.19058
79,,2.18235,2.45473,2.71494,0.80806,0.83352,0.85454,,1.59471,1.42348,2.17277
80,,2.18595,2.43018,2.70232,0.81868,0.82161,0.85153,,1.60804,1.42891,2.18892
81,,2.18241,2.40027,2.69339,0.81657,0.83278,0.85575,,1.62772,1.4214,2.18924
82,,2.162,2.38013,2.69453,0.81367,0.82563,0.85072,,1.63134,1.43182,2.18645
83,,2.19106,2.41891,2.72012,0.82143,0.82149,0.84537,,1.70113,1.44924,2.21825
84,,2.18046,2.40663,2.69935,0.8061,0.82859,0.8531,,1.58825,1.42705,2.17208
85,,2.17302,2.40181,2.70159,0.82112,0.81977,0.85262,,1.61436,1.41796,2.18376
86,,2.16007,2.36679,2.68824,0.80404,0.83416,0.8471,,1.6466,1.43463,2.19313
87,,2.16973,2.35953,2.69975,0.83849,0.82099,0.86023,,1.59659,1.40501,2.17112
88,,2.1524,2.3808,2.69245,0.82577,0.83053,0.85891,,1.5969,1.39656,2.1728
89,,2.1859,2.37557,2.69779,0.8177,0.83797,0.85501,,1.57997,1.41307,2.16183
90,,2.12223,2.32186,2.66753,0.83705,0.8251,0.86079,,1.60177,1.38467,2.17155
91,,2.13615,2.30106,2.67235,0.81395,0.83884,0.86087,,1.63274,1.39727,2.17879
92,,2.12253,2.2864,2.66033,0.82112,0.83369,0.85821,,1.60308,1.40913,2.16249
93,,2.14823,2.32057,2.68052,0.81071,0.84066,0.86362,,1.6402,1.39338,2.17776
94,,2.13262,2.35363,2.68194,0.81272,0.8454,0.86873,,1.5414,1.35814,2.14504
95,,2.16445,2.3527,2.6943,0.81089,0.85191,0.86436,,1.59272,1.39628,2.16883
96,,2.14877,2.35626,2.68998,0.82247,0.84364,0.86349,,1.6008,1.3776,2.17029
97,,2.16217,2.36654,2.68133,0.81017,0.85776,0.86778,,1.61617,1.35515,2.16309
98,,2.13608,2.31961,2.67173,0.82014,0.84317,0.8658,,1.61712,1.36448,2.16837
99,,2.13437,2.30015,2.65839,0.81478,0.84145,0.86522,,1.6065,1.36877,2.16167
100,,2.11461,2.30889,2.665,0.82035,0.84719,0.87409,,1.56098,1.33235,2.1377
101,,2.1263,2.27013,2.66599,0.83353,0.8457,0.87547,,1.57306,1.3371,2.1441
