epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
275,,1.82205,1.77778,2.44694,0.83912,0.88356,0.90661,,1.3834,1.13635,2.01829
276,,1.79864,1.75837,2.43591,0.8393,0.88352,0.90687,,1.38278,1.13611,2.01809
277,,1.83681,1.79844,2.46019,0.84282,0.88115,0.90727,,1.38239,1.13552,2.01786
278,,1.77958,1.73709,2.43364,0.84123,0.88408,0.90749,,1.3813,1.13584,2.01688
279,,1.81648,1.77612,2.4431,0.84486,0.87828,0.90777,,1.38032,1.13604,2.01693
280,,1.82499,1.77305,2.45091,0.84053,0.88233,0.90765,,1.37984,1.13544,2.01651
281,,1.83148,1.79652,2.45899,0.84609,0.87901,0.90748,,1.3792,1.13552,2.01629
282,,1.81307,1.77218,2.44562,0.84115,0.88284,0.90715,,1.37977,1.134,2.01632
283,,1.80318,1.7661,2.45286,0.84245,0.87859,0.90668,,1.37893,1.1351,2.01612
284,,1.80364,1.75328,2.44147,0.84192,0.87642,0.90653,,1.37873,1.13486,2.01596
285,,1.80482,1.78025,2.45357,0.84226,0.87909,0.90622,,1.37807,1.13572,2.01554
286,,1.79384,1.72115,2.43656,0.84233,0.87919,0.90648,,1.37775,1.13463,2.01531
287,,1.78996,1.71635,2.43481,0.84275,0.87999,0.90655,,1.37722,1.13437,2.01497
288,,1.82022,1.76324,2.44588,0.84247,0.88121,0.90667,,1.37671,1.13399,2.01469
289,,1.77596,1.7246,2.43245,0.84269,0.88149,0.9068,,1.37613,1.13329,2.01495
290,,1.79279,1.74699,2.42854,0.844,0.8796,0.90682,,1.37595,1.13197,2.01493
291,,1.25608,0.97928,2.09731,0.84447,0.87886,0.90715,,1.3754,1.13215,2.0141
292,,1.2412,0.91255,2.07255,0.84374,0.88039,0.90731,,1.37447,1.13301,2.01372
293,,1.23066,0.89387,2.08346,0.84433,0.87865,0.90766,,1.37487,1.13345,2.01452
294,,1.22367,0.88886,2.08152,0.84447,0.87826,0.90793,,1.37396,1.13322,2.01436
295,,1.23958,0.9985,2.10055,0.84198,0.88023,0.90805,,1.37205,1.13449,2.01325
296,,1.21413,0.89789,2.06734,0.84094,0.88245,0.90813,,1.37193,1.13375,2.01318
297,,1.21058,0.8644,2.06757,0.84152,0.88113,0.90812,,1.37105,1.13459,2.01273
298,,1.21177,0.87435,2.06745,0.84049,0.8807,0.90811,,1.37088,1.13428,2.01249
299,,1.21339,0.86811,2.06953,0.84516,0.87799,0.90819,,1.37041,1.13463,2.01226
300,,1.21334,0.87656,2.07297,0.84572,0.87794,0.90823,,1.37027,1.13408,2.0118
