epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2636.28,0.92553,0.96391,1.36233,0.83348,0.87321,0.88381,0.7508,0.72473,0.63442,1.15068,0.0020305,0.0020305,0.0020305
163,2696.79,0.92671,0.97032,1.36569,0.8335,0.87224,0.88264,0.75069,0.72321,0.63375,1.14895,0.001981,0.001981,0.001981
164,2757.81,0.93412,0.98477,1.37196,0.83287,0.86987,0.88236,0.74895,0.72426,0.63436,1.14886,0.0019315,0.0019315,0.0019315
165,2818.4,0.94629,1.00043,1.37687,0.83571,0.8703,0.88241,0.74851,0.72372,0.63404,1.14865,0.001882,0.001882,0.001882
166,2879.68,0.94072,0.97605,1.37422,0.84561,0.86351,0.88363,0.74997,0.72345,0.6342,1.14806,0.0018325,0.0018325,0.0018325
167,2940.17,0.91947,0.97658,1.35995,0.84515,0.86494,0.88371,0.75096,0.72251,0.63342,1.14712,0.001783,0.001783,0.001783
168,3001.51,0.92736,0.96806,1.36814,0.8489,0.85916,0.88286,0.75127,0.72296,0.63294,1.14725,0.0017335,0.0017335,0.0017335
169,3061.98,0.92816,0.98896,1.36821,0.8492,0.85824,0.88346,0.75127,0.72178,0.63215,1.14636,0.001684,0.001684,0.001684
170,3122.61,0.93783,0.99548,1.37188,0.84477,0.86441,0.88329,0.75199,0.72109,0.6315,1.14579,0.0016345,0.0016345,0.0016345
171,3183.89,0.92734,0.9816,1.36688,0.84563,0.86383,0.88336,0.75204,0.71994,0.63064,1.14486,0.001585,0.001585,0.001585
172,3245.31,0.92875,0.97214,1.3659,0.84688,0.86152,0.88376,0.7526,0.71968,0.63,1.1438,0.0015355,0.0015355,0.0015355
173,3305.76,0.90791,0.95073,1.35512,0.84514,0.86336,0.88399,0.75217,0.71904,0.62914,1.14328,0.001486,0.001486,0.001486
174,3366.43,0.92272,0.96243,1.36877,0.84543,0.8607,0.88404,0.75181,0.72009,0.62837,1.14386,0.0014365,0.0014365,0.0014365
175,3426.06,0.92158,0.96613,1.36662,0.84829,0.85954,0.88428,0.75308,0.7193,0.62808,1.14402,0.001387,0.001387,0.001387
176,3487.41,0.92251,0.96339,1.36494,0.84754,0.86062,0.88493,0.75371,0.71909,0.62789,1.14401,0.0013375,0.0013375,0.0013375
177,3548.3,0.90605,0.94609,1.35398,0.84675,0.85967,0.88487,0.75409,0.71974,0.62765,1.14488,0.001288,0.001288,0.001288
