epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2743,3.08834,4.48975,4.21714,0.00031,0.05161,0.00019,8e-05,2.60022,4.11527,4.15403,0.0032906,0.0032906,0.0032906
2,172.458,3.09425,4.5145,4.20162,0.00178,0.09745,0.0011,0.00023,nan,nan,nan,0.00659114,0.00659114,0.00659114
3,247.974,2.9082,4.18764,3.78522,0.00807,0.01328,0.00222,0.00051,2.71373,7.53425,4.50782,0.00985869,0.00985869,0.00985869
4,329.729,2.14646,3.34677,2.77183,0.09903,0.31171,0.09526,0.04012,1.87876,6.22928,2.61246,0.0098515,0.0098515,0.0098515
5,408.155,1.83028,3.02245,2.37531,0.1175,0.30414,0.1096,0.06078,1.78541,3.56996,2.29495,0.009802,0.009802,0.009802
6,486.129,1.71601,2.82811,2.22229,0.18199,0.27656,0.12859,0.06634,1.72193,3.76321,2.18988,0.0097525,0.0097525,0.0097525
7,563.851,1.67372,2.68903,2.15177,0.31251,0.44337,0.27441,0.14482,1.82062,3.05072,2.27638,0.009703,0.009703,0.009703
8,639.717,1.63384,2.56817,2.0862,0.34093,0.45556,0.32223,0.20527,1.47745,2.40513,1.94771,0.0096535,0.0096535,0.0096535
9,716.308,1.59825,2.50688,2.04984,0.29357,0.40183,0.27449,0.16202,1.68859,2.72814,2.07752,0.009604,0.009604,0.009604
10,791.616,1.55824,2.39498,1.99423,0.38372,0.45192,0.36551,0.23212,1.44131,2.2058,1.86002,0.0095545,0.0095545,0.0095545
11,867.036,1.53862,2.3451,1.97496,0.26957,0.40213,0.2344,0.13917,1.51292,2.52592,1.86987,0.009505,0.009505,0.009505
12,942.738,1.51487,2.2743,1.93588,0.42842,0.49387,0.4181,0.29093,1.33841,2.10422,1.70388,0.0094555,0.0094555,0.0094555
13,1018.61,1.48242,2.21008,1.89496,0.50494,0.48263,0.46431,0.33922,1.21767,1.86591,1.64255,0.009406,0.009406,0.009406
14,1094.05,1.46777,2.16996,1.87707,0.46755,0.44144,0.41792,0.2973,1.3059,2.14575,1.69364,0.0093565,0.0093565,0.0093565
15,1169.4,1.42791,2.09267,1.83571,0.55703,0.51708,0.51561,0.3758,1.26002,1.81528,1.67229,0.009307,0.009307,0.009307
16,1244.95,1.40169,2.05235,1.80779,0.59813,0.50564,0.52639,0.37884,1.26265,1.82311,1.63746,0.0092575,0.0092575,0.0092575
17,1320.98,1.40272,2.0328,1.80238,0.60628,0.55825,0.56997,0.40654,1.25118,1.71904,1.58505,0.009208,0.009208,0.009208
18,1396.61,1.39854,1.99939,1.78386,0.60801,0.54077,0.55908,0.41716,1.11318,1.6294,1.52414,0.0091585,0.0091585,0.0091585
19,1471.91,1.37057,1.9415,1.76248,0.65801,0.61751,0.64099,0.49496,1.05196,1.44978,1.4635,0.009109,0.009109,0.009109
20,1547.32,1.34374,1.88897,1.74165,0.69898,0.58643,0.62991,0.49074,1.052,1.50824,1.4491,0.0090595,0.0090595,0.0090595
21,1622.79,1.33721,1.85443,1.72296,0.65572,0.58536,0.61844,0.44468,1.25089,1.57151,1.56176,0.00901,0.00901,0.00901
22,1698.16,1.32036,1.82012,1.70612,0.70734,0.61543,0.65552,0.50535,1.02776,1.46263,1.41938,0.0089605,0.0089605,0.0089605
23,1773.72,1.33536,1.82835,1.71508,0.68586,0.58861,0.63197,0.45972,1.18323,1.5449,1.4885,0.008911,0.008911,0.008911
24,1849.23,1.29636,1.76078,1.67952,0.70195,0.63096,0.66797,0.52351,1.01841,1.37108,1.41067,0.0088615,0.0088615,0.0088615
25,1924.39,1.29247,1.75054,1.67675,0.76551,0.6317,0.70094,0.53821,1.0344,1.28299,1.40222,0.008812,0.008812,0.008812
26,1999.38,1.28041,1.73381,1.66159,0.70461,0.60308,0.66573,0.51804,1.0039,1.38504,1.39094,0.0087625,0.0087625,0.0087625
27,2075.2,1.26171,1.69181,1.64715,0.66333,0.6112,0.65308,0.50478,1.03539,1.4816,1.39889,0.008713,0.008713,0.008713
28,2150.45,1.26181,1.65759,1.63923,0.69915,0.67132,0.6985,0.54313,1.00865,1.23586,1.36913,0.0086635,0.0086635,0.0086635
29,2225.88,1.26838,1.663,1.64121,0.6831,0.63317,0.67791,0.52056,1.06918,1.32821,1.41672,0.008614,0.008614,0.008614
30,2301.27,1.24899,1.63096,1.62778,0.74664,0.66998,0.71901,0.53621,1.09971,1.203,1.3946,0.0085645,0.0085645,0.0085645
31,2376.87,1.2389,1.60155,1.61253,0.74581,0.6656,0.71471,0.55785,0.99553,1.25502,1.34807,0.008515,0.008515,0.008515
32,2452.04,1.2314,1.59827,1.60511,0.74951,0.69701,0.74177,0.57932,0.98389,1.15344,1.33853,0.0084655,0.0084655,0.0084655
33,2527.59,1.2483,1.61948,1.61582,0.7619,0.68283,0.73394,0.56966,0.97849,1.16985,1.3242,0.008416,0.008416,0.008416
34,2603.01,1.22695,1.57823,1.59773,0.75926,0.69955,0.73808,0.58752,0.93097,1.11707,1.32076,0.0083665,0.0083665,0.0083665
35,2678.12,1.22638,1.55831,1.59637,0.74495,0.70924,0.75464,0.5959,0.96038,1.09833,1.31474,0.008317,0.008317,0.008317
36,2753.28,1.21574,1.54421,1.58439,0.75886,0.7292,0.76203,0.59292,0.9841,1.07924,1.3228,0.0082675,0.0082675,0.0082675
37,2828.14,1.20007,1.50989,1.58272,0.7838,0.73098,0.77262,0.60983,0.94751,1.05191,1.30761,0.008218,0.008218,0.008218
38,2903.3,1.19977,1.51338,1.57054,0.7712,0.73396,0.76906,0.59848,0.9866,1.05031,1.31938,0.0081685,0.0081685,0.0081685
39,2978.9,1.18914,1.49413,1.56579,0.75416,0.72383,0.75581,0.59889,0.93246,1.07984,1.29599,0.008119,0.008119,0.008119
40,3054.04,1.19403,1.49494,1.56381,0.76882,0.7394,0.77434,0.61983,0.91063,1.0422,1.27238,0.0080695,0.0080695,0.0080695
41,3129.35,1.20114,1.49262,1.56761,0.78206,0.75061,0.78524,0.61405,0.95348,1.00473,1.28734,0.00802,0.00802,0.00802
42,3204.83,1.17368,1.46861,1.55072,0.76987,0.75318,0.77974,0.62833,0.88827,1.0106,1.26674,0.0079705,0.0079705,0.0079705
43,3280.16,1.16592,1.43381,1.53663,0.78088,0.73837,0.77583,0.61905,0.91898,1.00591,1.26815,0.007921,0.007921,0.007921
44,3355.37,1.16705,1.42855,1.54074,0.79048,0.75766,0.79114,0.63141,0.89901,0.981,1.25973,0.0078715,0.0078715,0.0078715
45,3430.65,1.1684,1.43406,1.53817,0.80222,0.75218,0.78899,0.6311,0.90461,0.96457,1.26717,0.007822,0.007822,0.007822
